spend_date,spend_description,amount,category
2023-08-30,SAFEWAY 800-898-4027 MILPITAS CA,23.11,Grocery
2023-09-01,BANANALEAF650000012619980 4087199811,144.16,Other
2023-09-01,BT*LINODE*AKAMAI 6093807100 CAMBRIDGE MA,6107.06,Other
2023-09-01,GOOGLE*GSUITE_SOCIALANIMAL.IO ADVERTISING SERVICE MOUNTAINVIEW CA,20.44,Other
2023-09-02,AmazonWebServices WEBSERVICES AWS.Amazon.com WA,333.88,Other
2023-09-03,SAFEWAY 800-898-4027 CUPERTINO CA,11.18,Grocery
2023-09-09,TST* BIKANER SWEET 00053687 RESTAURANT SUNNYVALE CA,21.81,Dining
2023-09-10,CVS PHARMACY 8007467287 CUPERTINO CA,2.34,Other
2023-09-13,APPLE.COM/BILL RECORDSTORE INTERNET CHARGE CA,2.99,Other
2023-09-13,SAFEWAY 800-898-4027 CUPERTINO CA,26.73,Grocery
2023-09-14,MCDONALD'S 6509404200 CUPERTINO CA,3.26,Dining
2023-09-14,PANERA BREAD#204476 975313007 95008 CAMPBELL CA,23.38,Dining
2023-09-14,MANLEYDONUTS00-08040662747 BAKERY CUPERTINO CA,21.15,Dining
2023-09-15,AplPay 6631309 - PEETS B TMP 53033 RESTAURANT OKALAND CA,4.27,Dining
2023-09-16,VEGAS.COM 18669983427 LAS VEGAS NV,761.58,Travel
2023-09-16,AplPay PANDAEXPRESS FAST FOODRESTAURANT LAS VEGAS NV,12.08,Dining
2023-09-17,AplPay LUX_STARBUCKS_ATRIUM 11980066 89109 RESTAURANT LAS VEGAS NV,23.68,Dining
2023-09-18,SPK*SPOKEO ENTPRS 888-858-0803 888-858-0803 CA,119.95,Other
2023-09-24,SIXT USA POS AUTOMOBILE RENTAL Sixt9497938611 30826E5JF4ZIIBIHSB FORT LAUDERDALE FL,2537.9,Travel
2023-09-24,LUCKY#773.SANTA CLARACA 0000000009925 4082475200 SANTACLARA CA,35.17,Grocery
2023-09-24,MILAN SWEET CENTER 0000 408-946-2525 MILPITAS CA,27.03,Dining
2023-09-25,AplPay MANLEY DONUTS00-08040662747 BAKERY CUPERTINO CA,6.5,Dining
